"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"F606-4-15-1","606Fast15","Stannis.15.2","F606-4",606,"Fast",15,"Generalist",-1.87850840335918,-0.408584576800559,0.428682510262851,-0.159096717068024,0.193429858024734
"F606-4-15-2","606Fast15","Stannis.15.3","F606-4",606,"Fast",15,"Generalist",-1.77949644157389,-0.217488282788742,0.52046979374511,-0.0208254486504585,0.110436265722668
"F606-4-37","606Fast37","Stannis.37.1","F606-4",606,"Fast",37,"Generalist",0.139030865232359,0.30260521456075,-0.874188611724739,0.0587633443366154,0.100143495179117
"F606-4-37-1","606Fast37","Stannis.37.2","F606-4",606,"Fast",37,"Generalist",0.0262274882649145,0.72436453322846,-0.356083375214348,-0.104128698891572,0.0965231822041671
"F606-4-37-2","606Fast37","Stannis.37.3","F606-4",606,"Fast",37,"Generalist",0.270998313422932,0.685985982999181,-0.399531346785915,-0.00343500850231464,0.157899622187937
"F606-4-43","606Fast43","Stannis.43.1","F606-4",606,"Fast",43,"Generalist",1.42555037045129,-0.311842600683772,0.255506426534983,0.0762127865351102,-0.220646939046639
"F606-4-43-1","606Fast43","Stannis.43.2","F606-4",606,"Fast",43,"Generalist",1.54427730332497,-0.319119134539873,0.000911346487669173,-0.282551855486732,-0.391895253037242
"F606-4-43-2","606Fast43","Stannis.43.3","F606-4",606,"Fast",43,"Generalist",1.68740366260245,-0.45533649367042,-0.0956716842847913,-0.214668824038687,-0.205958826785153
"R606-3-15","606Random15","Thoros.15.1","R606-3",606,"Random",15,"Other",-1.09191471197279,0.215916693206797,-0.464239720306567,0.45350507251098,-0.249831417982504
"R606-3-15-1","606Random15","Thoros.15.2","R606-3",606,"Random",15,"Other",-0.918102577827951,0.231696757303302,0.0747424211258397,0.559101978396902,-0.170788592413764
"R606-3-15-2","606Random15","Thoros.15.3","R606-3",606,"Random",15,"Other",-0.692950658509274,-0.066337305805694,-0.467366238015018,0.441709632061764,-0.405858144377647
"R606-3-37","606Random37","Thoros.37.1","R606-3",606,"Random",37,"Other",-0.129302952028745,0.378254972856147,-0.748084441325798,0.0552385329142804,-0.211282522295969
"R606-3-37-1","606Random37","Thoros.37.2","R606-3",606,"Random",37,"Other",0.125784117994289,0.349837447016104,-0.908781756193973,0.102652359985703,-0.173101589157852
"R606-3-37-2","606Random37","Thoros.37.3","R606-3",606,"Random",37,"Other",0.115763863073961,0.362379834831259,-1.13991573005789,0.225094626171842,-0.0981847191124669
"R606-3-43","606Random43","Thoros.43.1","R606-3",606,"Random",43,"Other",1.48987983254087,-0.295562452392719,0.453347056860985,0.0724042237028245,-0.27589244685325
"R606-3-43-1","606Random43","Thoros.43.2","R606-3",606,"Random",43,"Other",1.22636929321592,0.00950731873389685,0.655614561836454,-0.298330246993004,-0.317825386234135
"R606-3-43-2","606Random43","Thoros.43.3","R606-3",606,"Random",43,"Other",0.888817556184152,0.0782664131999601,0.820654940743295,0.443953218219805,-0.0713371707168147
"607P-15","607Ancestor15","X607P.15.1","607P",607,"Ancestor",15,"Other",-1.59521320513439,-0.190260791023355,0.369166233860674,0.125970501616793,0.392027024304706
"607P-15-1","607Ancestor15","X607P.15.2","607P",607,"Ancestor",15,"Other",-1.48022549574576,-0.203594217450198,0.360021904922172,0.206661746736912,0.256786257385549
"607P-15-2","607Ancestor15","X607P.15.3","607P",607,"Ancestor",15,"Other",-1.60028936147208,-0.0957579828213121,0.358998088534323,0.132085610615591,0.180912040387065
"607P-15-3","607Ancestor15","X607P2.15.1","607P",607,"Ancestor",15,"Other",-1.64576471814709,-0.37980540608015,0.283030107810607,0.142380855701349,0.443166833049459
"607P-15-4","607Ancestor15","X607P2.15.2","607P",607,"Ancestor",15,"Other",-1.53377072692248,-0.421164372319262,0.168168228441237,0.230584656025387,0.355590215548927
"607P-15-5","607Ancestor15","X607P2.15.3","607P",607,"Ancestor",15,"Other",-1.39816269834922,-0.379379018760296,0.088567185659311,0.216470505691405,0.263109865318218
"607P-37","607Ancestor37","X607P2.37.1","607P",607,"Ancestor",37,"Other",0.835784172633337,0.698909364430961,-0.465373832269234,0.463444849058817,-0.111284708221509
"607P-37-1","607Ancestor37","X607P2.37.2","607P",607,"Ancestor",37,"Other",0.611441361243617,0.736539775210339,-0.472162439355216,0.208978653431209,-0.0111112967635993
"607P-37-2","607Ancestor37","X607P2.37.3","607P",607,"Ancestor",37,"Other",0.586263199408619,0.75063903099418,-0.191104780859931,0.127778945239182,0.122299943931412
"607P-37-3","607Ancestor37","X607P3.37.1","607P",607,"Ancestor",37,"Other",0.389147237648751,1.19912744902953,-0.0686641179605449,0.19742158363487,-0.237985925663464
"607P-37-4","607Ancestor37","X607P3.37.2","607P",607,"Ancestor",37,"Other",0.318384284982267,1.17432677223815,-0.0315506750287392,0.115268080407512,-0.191885692039904
"607P-37-5","607Ancestor37","X607P3.37.3","607P",607,"Ancestor",37,"Other",0.270834879046493,1.32535664979208,0.0910211520511184,0.113166955402735,-0.077510851468966
"607P-43","607Ancestor43","X607P3.43.1","607P",607,"Ancestor",43,"Other",2.32819501823021,-2.19125772000373,-0.682238787588072,0.941673815467271,-0.268812358665687
"607P-43-1","607Ancestor43","X607P3.43.2","607P",607,"Ancestor",43,"Other",1.96318381158242,-1.46869984854837,-0.0822041182109332,1.00769140371902,0.337334927436269
"607P-43-2","607Ancestor43","X607P3.43.3","607P",607,"Ancestor",43,"Other",1.12215393465594,-0.57166849159224,0.450678931084248,0.242307512274128,0.167569744002545
"607P-43-3","607Ancestor43","X607P4.43.1","607P",607,"Ancestor",43,"Other",1.87203952385567,-1.46364760235624,-0.363449834435806,0.12198456324847,-0.0664507702737219
"607P-43-4","607Ancestor43","X607P4.43.2","607P",607,"Ancestor",43,"Other",2.00274727738098,-1.47868009148837,-0.457686137875542,0.542144873400982,-0.288829497381932
"R607-4-15","607Random15","Aegon.15.1","R607-4",607,"Random",15,"Specialist",-1.19589972258964,-0.0484151299660388,0.0892843521179561,0.100311646369151,-0.33612819024459
"R607-4-15-1","607Random15","Aegon.15.2","R607-4",607,"Random",15,"Specialist",-1.39996534240826,0.26980443217797,0.3452032155761,-0.14085750055873,-0.282485428518154
"R607-4-15-2","607Random15","Aegon.15.3","R607-4",607,"Random",15,"Specialist",-1.38204998881151,-0.191445960066827,-0.0460176892113531,0.0472210385576701,-0.332088338550615
"R607-4-37","607Random37","Aegon.37.1","R607-4",607,"Random",37,"Specialist",0.442579317574284,0.15614607691129,-0.9675754414023,0.0581511255017566,0.00467296751979641
"R607-4-37-1","607Random37","Aegon.37.2","R607-4",607,"Random",37,"Specialist",0.227116318257155,0.489468290316744,-0.459563819634398,0.000700097903271673,0.0842966841167814
"R607-4-37-2","607Random37","Aegon.37.3","R607-4",607,"Random",37,"Specialist",0.176544245646215,0.5604939590265,-0.429637215477987,-0.0727185374913284,-0.0238513506952705
"R607-4-43","607Random43","Aegon.43.1","R607-4",607,"Random",43,"Specialist",0.886339593674395,-1.04874423471634,0.154723136198269,-0.121595334808919,-0.119438973775878
"R607-4-43-1","607Random43","Aegon.43.2","R607-4",607,"Random",43,"Specialist",0.889195467922703,-0.957615479827168,0.269857996785536,0.011335829592552,-0.0768137675565113
"R607-4-43-2","607Random43","Aegon.43.3","R607-4",607,"Random",43,"Specialist",1.16014486618762,-1.21532477862588,0.0552443312356245,0.373304856517285,-0.017048429921471
"R607-1-15","607Random15","Aeris.15.1","R607-1",607,"Random",15,"Generalist",-1.29869710374593,0.0115632618940281,0.517331834256547,0.0518467357538017,-0.110012921069359
"R607-1-15-1","607Random15","Aeris.15.2","R607-1",607,"Random",15,"Generalist",-1.26831615624116,-0.0414800299143116,0.428530362059505,0.0947653743309004,-0.195421931433031
"R607-1-15-2","607Random15","Aeris.15.3","R607-1",607,"Random",15,"Generalist",-1.14175942336131,0.14637172398953,0.526412168907927,0.114531378661364,-0.164209048256245
"R607-1-37","607Random37","Aeris.37.1","R607-1",607,"Random",37,"Generalist",0.0034134880401994,0.118740253796527,-0.695797696202547,-0.337007827722042,0.0450249805015928
"R607-1-37-1","607Random37","Aeris.37.2","R607-1",607,"Random",37,"Generalist",0.144225355141404,0.184836754430468,-0.739993386830384,-0.117566493755687,0.0321077358031506
"R607-1-37-2","607Random37","Aeris.37.3","R607-1",607,"Random",37,"Generalist",0.178010661992408,0.119458023353495,-0.805280172827766,-0.263925294880787,-0.0267356520668569
"R607-1-43","607Random43","Aeris.43.1","R607-1",607,"Random",43,"Generalist",0.927292009457881,-0.555665431385628,0.146117083800735,-0.342594342664025,-0.049849610666171
"R607-1-43-1","607Random43","Aeris.43.2","R607-1",607,"Random",43,"Generalist",1.33099699203054,-1.20852155938336,-0.656907568089478,0.0520762413040328,-0.18886364369392
"R607-1-43-2","607Random43","Aeris.43.3","R607-1",607,"Random",43,"Generalist",1.34825050083703,-0.998084964102613,-0.251631249993663,-0.0623544777713748,-0.218676921916692
"F607-4-15","607Fast15","Bloodraven.15.1","F607-4",607,"Fast",15,"Specialist",-1.47375210985849,-0.348147515661489,0.0198648914763163,0.201850834223811,-0.360862382584513
"F607-4-15-1","607Fast15","Bloodraven.15.2","F607-4",607,"Fast",15,"Specialist",-1.29322963141834,-0.221254618305957,0.0951213340384133,0.287952121276089,-0.290576212141312
"F607-4-15-2","607Fast15","Bloodraven.15.3","F607-4",607,"Fast",15,"Specialist",-1.04287846653168,-0.370937709485155,-0.147703918120938,0.403685588107441,-0.358676905933478
"F607-4-37","607Fast37","Bloodraven.37.1","F607-4",607,"Fast",37,"Specialist",0.0591632554996619,0.52659636207953,-0.481953115176084,-0.175365688868425,0.286582479571634
"F607-4-37-1","607Fast37","Bloodraven.37.2","F607-4",607,"Fast",37,"Specialist",0.409230950028367,0.249689473067296,-0.925446527555422,-0.225854146031035,0.241923287295365
"F607-4-37-2","607Fast37","Bloodraven.37.3","F607-4",607,"Fast",37,"Specialist",0.432493828978391,0.609073573463577,-0.395340412419387,-0.0381378493354792,0.310931496551924
"F607-4-43","607Fast43","Bloodraven.43.1","F607-4",607,"Fast",43,"Specialist",1.38079484623506,-0.845870230145649,-0.35896274298003,-0.811557160938961,0.0217164752759181
"F607-4-43-1","607Fast43","Bloodraven.43.2","F607-4",607,"Fast",43,"Specialist",0.788867976109607,-0.599942804777587,0.150330071815107,0.615144411214054,0.418484663210567
"F607-4-43-2","607Fast43","Bloodraven.43.3","F607-4",607,"Fast",43,"Specialist",1.20918487805348,-0.810501824883114,-0.0513206775632051,-0.287772414487504,0.0873418828716772
"S607-4-15","607Slow15","Dunk.15.1","S607-4",607,"Slow",15,"Generalist",-1.22335757399827,-0.323300312626656,-0.386107834599653,0.136794077526646,-0.60492673123955
"S607-4-15-1","607Slow15","Dunk.15.2","S607-4",607,"Slow",15,"Generalist",-1.27937839721918,-0.103542405409126,-0.104793624988403,0.0687819611210648,-0.648521849715768
"S607-4-15-2","607Slow15","Dunk.15.3","S607-4",607,"Slow",15,"Generalist",-1.25453317964833,-0.158448770311083,-0.120351761207668,0.329887484883062,-0.709511228831956
"S607-4-37","607Slow37","Dunk.37.1","S607-4",607,"Slow",37,"Generalist",0.0499410152653455,1.32086088325748,0.327701716565522,-0.242866238174644,0.236534296898175
"S607-4-37-1","607Slow37","Dunk.37.2","S607-4",607,"Slow",37,"Generalist",-0.000263832360663072,1.18235426968196,0.133226765783072,-0.151782234837216,0.270140914463883
"S607-4-37-2","607Slow37","Dunk.37.3","S607-4",607,"Slow",37,"Generalist",0.00638057682825438,1.23960720376024,0.236418696733234,-0.0901966274293225,0.230102061279254
"S607-4-43","607Slow43","Dunk.43.1","S607-4",607,"Slow",43,"Generalist",0.948427107721334,-0.0864920506203261,0.855909590408994,0.00523864580190783,-0.0015718882922868
"S607-4-43-1","607Slow43","Dunk.43.2","S607-4",607,"Slow",43,"Generalist",0.756937536490785,0.262477066698224,1.04295005845079,-0.0828399156084154,0.192400371280959
"S607-4-43-2","607Slow43","Dunk.43.3","S607-4",607,"Slow",43,"Generalist",1.14657674871535,-0.0221544445339962,0.652559440371324,-0.157669979649919,0.00214699853319006
"F607-2-15","607Fast15","Greywind.15.1","F607-2",607,"Fast",15,"Generalist",-1.36588237417173,-0.567759219316817,-0.0409466033062404,0.225133039151031,-0.173204246427838
"F607-2-15-1","607Fast15","Greywind.15.2","F607-2",607,"Fast",15,"Generalist",-1.37810109871445,-0.671013156673838,-0.0974850781276245,0.289769867506916,-0.182703772776585
"F607-2-15-2","607Fast15","Greywind.15.3","F607-2",607,"Fast",15,"Generalist",-1.36315696150788,-0.639110346103447,-0.0438065962207334,0.233902337002151,-0.0999588595803415
"F607-2-37","607Fast37","Greywind.37.1","F607-2",607,"Fast",37,"Generalist",0.0224235426363083,0.490111417719675,-0.542409703006257,-0.186546842248451,-0.105899127096408
"F607-2-37-1","607Fast37","Greywind.37.2","F607-2",607,"Fast",37,"Generalist",0.206043571361409,0.64975169743704,-0.485566299679205,-0.0710591312943159,-0.0223967800382379
"F607-2-37-2","607Fast37","Greywind.37.3","F607-2",607,"Fast",37,"Generalist",0.314008153381782,0.961826958443706,-0.189782206962831,0.0255597758910217,-0.0513186116005492
"F607-2-43","607Fast43","Greywind.43.1","F607-2",607,"Fast",43,"Generalist",0.913694480314016,-0.438481556597225,0.283421946616004,-0.263779321803174,0.0967659539493654
"F607-2-43-1","607Fast43","Greywind.43.2","F607-2",607,"Fast",43,"Generalist",1.37474486381843,-0.791579150020846,-0.274370830788335,-1.99949284060314,-0.425208948892778
"F607-2-43-2","607Fast43","Greywind.43.3","F607-2",607,"Fast",43,"Generalist",0.797907779340483,-0.685944290235467,0.126328888268681,-0.249768813587491,0.350680541452918
"S607-3-15","607Slow15","Ilyrio.15.1","S607-3",607,"Slow",15,"Generalist",-1.53136391839158,0.0130806469027997,0.743349122111819,-0.144555362398968,0.161691265309838
"S607-3-15-1","607Slow15","Ilyrio.15.2","S607-3",607,"Slow",15,"Generalist",-1.54716316446217,-0.312248601783885,0.502492943109239,-0.0870918023575666,0.153780164778875
"S607-3-15-2","607Slow15","Ilyrio.15.3","S607-3",607,"Slow",15,"Generalist",-1.60658501668081,-0.3238435795308,0.538420396296234,-0.15150144938441,0.168544450565273
"S607-3-37","607Slow37","Ilyrio.37.1","S607-3",607,"Slow",37,"Generalist",0.233773599565288,0.320914401848845,-0.773962572117058,0.181485122545444,-0.161162788246054
"S607-3-37-1","607Slow37","Ilyrio.37.2","S607-3",607,"Slow",37,"Generalist",0.130171921019052,0.449445996449358,-0.337132151206815,-0.158416997150848,-0.169582679516744
"S607-3-37-2","607Slow37","Ilyrio.37.3","S607-3",607,"Slow",37,"Generalist",0.0995723554586428,0.831296886297008,0.387726512426331,-0.0147002523390052,-0.2861166408862
"S607-3-43","607Slow43","Ilyrio.43.1","S607-3",607,"Slow",43,"Generalist",1.33357770025458,-0.35970535033612,0.618916366224915,-0.056362140733696,-0.125957041053574
"S607-3-43-1","607Slow43","Ilyrio.43.2","S607-3",607,"Slow",43,"Generalist",0.894539689286802,0.24505175815975,1.03094884543448,-0.230261521058878,-0.0290754303251199
"S607-3-43-2","607Slow43","Ilyrio.43.3","S607-3",607,"Slow",43,"Generalist",1.00911051032158,-0.0318594761247841,0.69219041058344,-0.229920792381446,-0.0701149776905192
"R607-2-15","607Random15","Jeor.15.1","R607-2",607,"Random",15,"Specialist",-1.47807443734296,0.0242032624025291,0.307476884814828,0.155585406501635,-0.51270717026535
"R607-2-15-1","607Random15","Jeor.15.2","R607-2",607,"Random",15,"Specialist",-1.52257883819476,0.53685281496463,0.868246402418795,0.0599881188753614,-0.429064397943812
"R607-2-15-2","607Random15","Jeor.15.3","R607-2",607,"Random",15,"Specialist",-1.50495567083131,0.313062841629583,0.549057637580019,-0.0587936164147029,-0.488438979124128
"R607-2-37","607Random37","Jeor.37.1","R607-2",607,"Random",37,"Specialist",0.183010291662948,0.634012043701634,-0.575650956126732,-0.196275099022712,0.115724779230387
