"","X.x","clone.x","median","pvaltest","logi_test","referencia","PC","PCdir","comparison","Name","X.y","Merged","Nickname","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","clone.y"
"66",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-15-2","607Fast15","Bloodraven.15.3",607,"Fast","15","Specialist",-1.04287846653168,-0.370937709485155,-0.147703918120938,0.403685588107441,-0.358676905933478,"F607-4"
"67",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-37","607Fast37","Bloodraven.37.1",607,"Fast","37","Specialist",0.0591632554996619,0.52659636207953,-0.481953115176084,-0.175365688868425,0.286582479571634,"F607-4"
"68",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-37-1","607Fast37","Bloodraven.37.2",607,"Fast","37","Specialist",0.409230950028367,0.249689473067296,-0.925446527555422,-0.225854146031035,0.241923287295365,"F607-4"
"69",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-37-2","607Fast37","Bloodraven.37.3",607,"Fast","37","Specialist",0.432493828978391,0.609073573463577,-0.395340412419387,-0.0381378493354792,0.310931496551924,"F607-4"
"70",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-43","607Fast43","Bloodraven.43.1",607,"Fast","43","Specialist",1.38079484623506,-0.845870230145649,-0.35896274298003,-0.811557160938961,0.0217164752759181,"F607-4"
"71",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-43-1","607Fast43","Bloodraven.43.2",607,"Fast","43","Specialist",0.788867976109607,-0.599942804777587,0.150330071815107,0.615144411214054,0.418484663210567,"F607-4"
"72",10,"F607-4",-1.29322963141834,0.136273681702181,"equal",15,"Dim.1","less","Unrestored","F607-4","F607-4-43-2","607Fast43","Bloodraven.43.3",607,"Fast","43","Specialist",1.20918487805348,-0.810501824883114,-0.0513206775632051,-0.287772414487504,0.0873418828716772,"F607-4"
"73",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-15","606Random15","Khaleesi.15.1",606,"Random","15","Other",-1.76596300900642,-0.385312131299929,0.13324983535362,-0.166803105754826,-0.0778682265266609,"R606-1"
"74",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-15-1","606Random15","Khaleesi.15.2",606,"Random","15","Other",-1.9017249984884,0.0965473208165079,0.598247953428602,-0.209500766601821,-0.0401976125115638,"R606-1"
"75",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-15-2","606Random15","Khaleesi.15.3",606,"Random","15","Other",-1.54703082963927,-0.448642827436611,0.216806843198627,0.0858853008228975,-0.0269112171862792,"R606-1"
"76",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-37","606Random37","Khaleesi.37.1",606,"Random","37","Other",0.202460445351505,0.481401605718543,-0.446276488976101,-0.0261945563808106,0.10602924537252,"R606-1"
"77",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-37-1","606Random37","Khaleesi.37.2",606,"Random","37","Other",0.0103973702931371,0.430972446733542,-0.623029133637269,-0.0628292090987124,0.0737869049678772,"R606-1"
"78",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-37-2","606Random37","Khaleesi.37.3",606,"Random","37","Other",-0.115046173097574,0.486327549627508,-0.540598080950468,-0.210133801801878,0.070106241677904,"R606-1"
"79",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-43","606Random43","Khaleesi.43.1",606,"Random","43","Other",1.39995594331623,0.0970512324945835,0.681152758219522,-0.408393761503483,-0.11629661105791,"R606-1"
"80",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-43-1","606Random43","Khaleesi.43.2",606,"Random","43","Other",1.28053273083661,-0.228853589645779,0.529378333894196,-0.570425599712787,-0.251929019440936,"R606-1"
"81",11,"R606-1",-1.76596300900642,0.209603001826689,"equal",15,"Dim.1","less","Unrestored","R606-1","R606-1-43-2","606Random43","Khaleesi.43.3",606,"Random","43","Other",1.47368498937476,-0.17746195116985,0.269973956711537,-0.531734033223969,-0.214326882147953,"R606-1"
"82",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-15","606Random15","Shiera.15.1",606,"Random","15","Specialist",-0.974217693521529,0.0707586196726064,-0.128297878022065,0.180477713411648,-0.505656365423583,"R606-2"
"83",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-15-1","606Random15","Shiera.15.2",606,"Random","15","Specialist",-0.705772091210941,0.0395429776621659,-0.202249769741708,0.176032964779987,-0.415039165109412,"R606-2"
"84",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-15-2","606Random15","Shiera.15.3",606,"Random","15","Specialist",-1.02586691831688,0.188188228505083,0.0566591265802616,0.226896965177139,-0.452382646327377,"R606-2"
"85",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-37","606Random37","Shiera.37.1",606,"Random","37","Specialist",0.116001763067851,0.827692788488193,-0.440331869705121,0.15828812782447,0.123398150474585,"R606-2"
"86",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-37-1","606Random37","Shiera.37.2",606,"Random","37","Specialist",0.337461295364611,0.50300111600368,-0.876400224440144,0.171911327314032,-0.0966531726376154,"R606-2"
"87",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-37-2","606Random37","Shiera.37.3",606,"Random","37","Specialist",0.195043763416272,0.706868686160775,-0.838301036268549,0.211792802521411,-0.0481537190915797,"R606-2"
"88",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-43","606Random43","Shiera.43.1",606,"Random","43","Specialist",1.30351916085263,-0.838664057724982,0.228633115134088,0.709751486549823,0.0638855492535243,"R606-2"
"89",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-43-1","606Random43","Shiera.43.2",606,"Random","43","Specialist",1.55425896125484,-1.63688478618932,-0.540266392400252,0.924592843806759,0.0999698356786076,"R606-2"
"90",12,"R606-2",-0.974217693521529,0.00328603141524912,"greater",15,"Dim.1","less","Partially Restored","R606-2","R606-2-43-2","606Random43","Shiera.43.3",606,"Random","43","Specialist",1.32035927442869,-0.924358734074789,0.0803759718655098,0.723049666249398,0.326719796784306,"R606-2"
"91",13,"R606-3",-0.918102577827951,0.00763143027866128,"greater",15,"Dim.1","less","Partially Restored","R606-3","R606-3-15","606Random15","Thoros.15.1",606,"Random","15","Other",-1.09191471197279,0.215916693206797,-0.464239720306567,0.45350507251098,-0.249831417982504,"R606-3"
"92",13,"R606-3",-0.918102577827951,0.00763143027866128,"greater",15,"Dim.1","less","Partially Restored","R606-3","R606-3-15-1","606Random15","Thoros.15.2",606,"Random","15","Other",-0.918102577827951,0.231696757303302,0.0747424211258397,0.559101978396902,-0.170788592413764,"R606-3"
